Symbol,Name,Rank
TSE,Tattoocoin (Standard Edition),1000
HERO,Sovereign Hero,1001
BITZ,Bitz,1002
8BIT,8Bit,1003
GB,GoldBlocks,1004
DDF,DigitalDevelopersFund,1005
XPY,PayCoin,1006
GRIM,Grimcoin,1007
PR,Prototanium,1008
KUSH,KushCoin,1009
OPAL,Opal,1010
SLG,Sterlingcoin,1011
GAP,Gapcoin,1012
VAL,Valorbit,1013
CASH,Cashcoin,1014
FLY,Flycoin,1015
ZZC,ZoZoCoin,1016
BLOCKPAY,BlockPay,1017
STV,Sativacoin,1018
CYP,Cypher,1019
GLC,GlobalCoin,1020
ICN,iCoin,1021
J,Joincoin,1022
SOON,SoonCoin,1023
CV2,Colossuscoin V2,1024
BITSILVER,bitSilver,1025
AMBER,AmberCoin,1026
PHS,Philosopher Stones,1027
C2,Coin2.1,1028
RBIES,Rubies,1029
XIOS,Xios,1030
PX,PX,1031
MAD,SatoshiMadness,1032
DLC,Dollarcoin,1033
YEL,Yellow Token,1034
EMD,Emerald Crypto,1035
VC,VirtualCoin,1036
CAT,Catcoin,1037
WAY,WayGuide,1038
EUC,Eurocoin,1039
BTSR,BTSR,1040
SPACE,SpaceCoin,1041
BUMBA,BumbaCoin,1042
CCO,Ccore,1043
DUO,ParallelCoin,1044
ZUR,Zurcoin,1045
BITGOLD,bitGold,1046
UNITS,GameUnits,1047
EREAL,eREAL,1048
FRC,Freicoin,1049
TRDT,Trident Group,1050
NTWK,Network Token,1051
SPEX,SproutsExtreme,1052
BLN,Bolenum,1053
BTQ,BitQuark,1054
BRAT,BROTHER,1055
ACOIN,Acoin,1056
IMX,Impact,1057
CPN,CompuCoin,1058
JIN,Jin Coin,1059
BRIA,BriaCoin,1060
XCRE,Creatio,1061
ISL,IslaCoin,1062
VUC,Virta Unique Coin,1063
AIB,Advanced Internet Blocks,1064
EVO,Evotion,1065
GP,GoldPieces,1066
FIRE,Firecoin,1067
XNG,Enigma,1068
CTO,Crypto,1069
SAC,SACoin,1070
VLT,Veltor,1071
XBTC21,Bitcoin 21,1072
YAC,Yacoin,1073
SOIL,SOILcoin,1074
RBX,Ripto Bux,1075
QBC,Quebecoin,1076
FLAX,Flaxscript,1077
SCRT,SecretCoin,1078
GPL,Gold Pressed Latinum,1079
EGAS,ETHGAS,1080
GCC,GuccioneCoin,1081
RMC,Remicoin,1082
BAS,BitAsean,1083
FRK,Franko,1084
DLISK,DAPPSTER,1085
DBTC,Debitcoin,1086
BNX,BnrtxCoin,1087
BITEUR,bitEUR,1088
JWL,Jewels,1089
BRAIN,Braincoin,1090
WORM,HealthyWormCoin,1091
HMP,HempCoin,1092
